# {
#     "poni_version": 2.1,
#     "detector": "Perkin",
#     "detector_config": {
#         "pixel1": 0.0002,
#         "pixel2": 0.0002,
#         "orientation": 3
#     },
#     "dist": 1.4280177479893559,
#     "poni1": 0.23398429857415295,
#     "poni2": 0.37634908408057827,
#     "rot1": -0.003994332959290178,
#     "rot2": -0.026132616520970278,
#     "rot3": -4.71036871681453e-10,
#     "wavelength": 1.814e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> from_PerkinElmer_detector/LaB6.xy
#       2th_deg             I 
  3.705000e+00    1.946323e+01
  3.715000e+00    1.948876e+01
  3.725000e+00    1.947403e+01
  3.735000e+00    1.954630e+01
  3.745000e+00    1.961446e+01
  3.755000e+00    1.971838e+01
  3.765000e+00    1.976074e+01
  3.775000e+00    1.997318e+01
  3.785000e+00    2.028354e+01
  3.795000e+00    2.080700e+01
  3.805000e+00    2.195836e+01
  3.815000e+00    2.831724e+01
  3.825000e+00    1.001939e+02
  3.835000e+00    3.580914e+02
  3.845000e+00    4.369340e+02
  3.855000e+00    1.547667e+02
  3.865000e+00    3.324209e+01
  3.875000e+00    2.237863e+01
  3.885000e+00    2.078388e+01
  3.895000e+00    2.014897e+01
  3.905000e+00    1.969589e+01
  3.915000e+00    1.937321e+01
  3.925000e+00    1.920910e+01
  3.935000e+00    1.905126e+01
  3.945000e+00    1.891735e+01
  3.955000e+00    1.885073e+01
  3.965000e+00    1.875580e+01
  3.975000e+00    1.869025e+01
  3.985000e+00    1.860346e+01
  3.995000e+00    1.856005e+01
  4.005000e+00    1.845696e+01
  4.015000e+00    1.845430e+01
  4.025000e+00    1.842279e+01
  4.035000e+00    1.837609e+01
  4.045000e+00    1.832803e+01
  4.055000e+00    1.838805e+01
  4.065000e+00    1.829585e+01
  4.075000e+00    1.819274e+01
  4.085000e+00    1.819529e+01
  4.095000e+00    1.817922e+01
  4.105000e+00    1.815704e+01
  4.115000e+00    1.810196e+01
  4.125000e+00    1.806267e+01
  4.135000e+00    1.789537e+01
  4.145000e+00    1.783515e+01
  4.155000e+00    1.789529e+01
  4.165000e+00    1.789400e+01
  4.175000e+00    1.782919e+01
  4.185000e+00    1.785069e+01
  4.195000e+00    1.778552e+01
  4.205000e+00    1.777509e+01
  4.215000e+00    1.778506e+01
  4.225000e+00    1.780611e+01
  4.235000e+00    1.773392e+01
  4.245000e+00    1.776822e+01
  4.255000e+00    1.776525e+01
  4.265000e+00    1.769562e+01
  4.275000e+00    1.773348e+01
  4.285000e+00    1.783209e+01
  4.295000e+00    1.782950e+01
  4.305000e+00    1.775584e+01
  4.315000e+00    1.774999e+01
  4.325000e+00    1.775605e+01
  4.335000e+00    1.774848e+01
  4.345000e+00    1.768161e+01
  4.355000e+00    1.762817e+01
  4.365000e+00    1.761898e+01
  4.375000e+00    1.757430e+01
  4.385000e+00    1.757700e+01
  4.395000e+00    1.757686e+01
  4.405000e+00    1.749759e+01
  4.415000e+00    1.749362e+01
  4.425000e+00    1.744903e+01
  4.435000e+00    1.742642e+01
  4.445000e+00    1.744528e+01
  4.455000e+00    1.738317e+01
  4.465000e+00    1.742200e+01
  4.475000e+00    1.748582e+01
  4.485000e+00    1.746259e+01
  4.495000e+00    1.746045e+01
  4.505000e+00    1.739140e+01
  4.515000e+00    1.736680e+01
  4.525000e+00    1.740952e+01
  4.535000e+00    1.740067e+01
  4.545000e+00    1.737494e+01
  4.555000e+00    1.737047e+01
  4.565000e+00    1.738407e+01
  4.575000e+00    1.736103e+01
  4.585000e+00    1.741454e+01
  4.595000e+00    1.736484e+01
  4.605000e+00    1.732729e+01
  4.615000e+00    1.730491e+01
  4.625000e+00    1.731596e+01
  4.635000e+00    1.727857e+01
  4.645000e+00    1.730507e+01
  4.655000e+00    1.732413e+01
  4.665000e+00    1.727428e+01
  4.675000e+00    1.723888e+01
  4.685000e+00    1.724633e+01
  4.695000e+00    1.726219e+01
  4.705000e+00    1.722108e+01
  4.715000e+00    1.723556e+01
  4.725000e+00    1.719191e+01
  4.735000e+00    1.724184e+01
  4.745000e+00    1.721350e+01
  4.755000e+00    1.716279e+01
  4.765000e+00    1.724180e+01
  4.775000e+00    1.722825e+01
  4.785000e+00    1.724685e+01
  4.795000e+00    1.722298e+01
  4.805000e+00    1.722926e+01
  4.815000e+00    1.721491e+01
  4.825000e+00    1.725244e+01
  4.835000e+00    1.722373e+01
  4.845000e+00    1.723026e+01
  4.855000e+00    1.730782e+01
  4.865000e+00    1.729428e+01
  4.875000e+00    1.724123e+01
  4.885000e+00    1.723502e+01
  4.895000e+00    1.727147e+01
  4.905000e+00    1.728239e+01
  4.915000e+00    1.725906e+01
  4.925000e+00    1.727670e+01
  4.935000e+00    1.731826e+01
  4.945000e+00    1.735034e+01
  4.955000e+00    1.736010e+01
  4.965000e+00    1.734240e+01
  4.975000e+00    1.730630e+01
  4.985000e+00    1.729069e+01
  4.995000e+00    1.730106e+01
  5.005000e+00    1.734341e+01
  5.015000e+00    1.739813e+01
  5.025000e+00    1.736343e+01
  5.035000e+00    1.737154e+01
  5.045000e+00    1.736722e+01
  5.055000e+00    1.732665e+01
  5.065000e+00    1.740839e+01
  5.075000e+00    1.743103e+01
  5.085000e+00    1.744567e+01
  5.095000e+00    1.740133e+01
  5.105000e+00    1.744305e+01
  5.115000e+00    1.742220e+01
  5.125000e+00    1.745927e+01
  5.135000e+00    1.745447e+01
  5.145000e+00    1.746626e+01
  5.155000e+00    1.752909e+01
  5.165000e+00    1.753336e+01
  5.175000e+00    1.757616e+01
  5.185000e+00    1.762372e+01
  5.195000e+00    1.770264e+01
  5.205000e+00    1.771494e+01
  5.215000e+00    1.773249e+01
  5.225000e+00    1.778810e+01
  5.235000e+00    1.779486e+01
  5.245000e+00    1.785287e+01
  5.255000e+00    1.781812e+01
  5.265000e+00    1.789797e+01
  5.275000e+00    1.796722e+01
  5.285000e+00    1.809189e+01
  5.295000e+00    1.814405e+01
  5.305000e+00    1.825205e+01
  5.315000e+00    1.838451e+01
  5.325000e+00    1.855559e+01
  5.335000e+00    1.872927e+01
  5.345000e+00    1.897040e+01
  5.355000e+00    1.927351e+01
  5.365000e+00    1.971335e+01
  5.375000e+00    2.043650e+01
  5.385000e+00    2.152572e+01
  5.395000e+00    2.386067e+01
  5.405000e+00    3.710265e+01
  5.415000e+00    1.698275e+02
  5.425000e+00    6.154913e+02
  5.435000e+00    8.775074e+02
  5.445000e+00    4.604807e+02
  5.455000e+00    8.901396e+01
  5.465000e+00    2.859274e+01
  5.475000e+00    2.295018e+01
  5.485000e+00    2.121227e+01
  5.495000e+00    2.022713e+01
  5.505000e+00    1.960778e+01
  5.515000e+00    1.916935e+01
  5.525000e+00    1.885986e+01
  5.535000e+00    1.865309e+01
  5.545000e+00    1.844969e+01
  5.555000e+00    1.828201e+01
  5.565000e+00    1.816224e+01
  5.575000e+00    1.802637e+01
  5.585000e+00    1.801908e+01
  5.595000e+00    1.797730e+01
  5.605001e+00    1.781604e+01
  5.615001e+00    1.778931e+01
  5.625001e+00    1.775299e+01
  5.635001e+00    1.770570e+01
  5.645001e+00    1.762180e+01
  5.655001e+00    1.756201e+01
  5.665001e+00    1.756454e+01
  5.675001e+00    1.754559e+01
  5.685001e+00    1.745455e+01
  5.695001e+00    1.742462e+01
  5.705001e+00    1.743442e+01
  5.715001e+00    1.739885e+01
  5.725001e+00    1.742085e+01
  5.735001e+00    1.733409e+01
  5.745001e+00    1.732370e+01
  5.755001e+00    1.730626e+01
  5.765001e+00    1.733250e+01
  5.775001e+00    1.730750e+01
  5.785001e+00    1.732060e+01
  5.795001e+00    1.729656e+01
  5.805001e+00    1.723082e+01
  5.815001e+00    1.722711e+01
  5.825001e+00    1.726547e+01
  5.835001e+00    1.723444e+01
  5.845001e+00    1.723511e+01
  5.855001e+00    1.720026e+01
  5.865001e+00    1.727073e+01
  5.875001e+00    1.723040e+01
  5.885001e+00    1.718061e+01
