# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 4
# Detector.I1_amp_gain: 4
# Detector.I2_amp_gain: 5
# Detector.IF_amp_gain: 6
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.35282595377504
# Facility.cycle: 2022-2
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: Ni foil 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -22.8200122375
# ISS.sample_y_position: -48.396793724
# Scan.edge_energy: 8333.0
# Scan.start_time: 06/17/2022  09:37:49
# Scan.end_time: 06/17/2022  09:38:24
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8288.000000 -4.477559e-05 -3.486841e-05 -6.007982e-06 -3.863674e-07 4.011069e-05 -2.122640e-05 7.305478e-06 2.211868e-05
 8293.000000 -4.498150e-05 -3.507311e-05 -6.050277e-06 -3.890752e-07 3.674963e-05 -2.348727e-05 9.481793e-07 2.540650e-05
 8298.000000 -4.502023e-05 -3.514485e-05 -6.069419e-06 -3.903113e-07 3.513797e-05 -3.046194e-05 5.956186e-07 2.713680e-05
 8303.000000 -4.483696e-05 -3.506173e-05 -6.058508e-06 -3.896398e-07 3.182577e-05 -3.711114e-05 2.370586e-06 4.352834e-05
 8307.000000 -4.495993e-05 -3.519124e-05 -6.081841e-06 -3.914202e-07 2.624334e-05 -3.888798e-05 9.115673e-06 4.201629e-05
 8310.000000 -4.467717e-05 -3.501137e-05 -6.050063e-06 -3.894221e-07 1.717773e-05 -2.743298e-05 9.244205e-06 3.677808e-05
 8312.000000 -4.460210e-05 -3.498308e-05 -6.042297e-06 -3.891679e-07 1.527241e-05 -3.306451e-05 7.134453e-06 3.236242e-05
 8313.000000 -4.487425e-05 -3.519742e-05 -6.077351e-06 -3.917339e-07 1.149707e-05 -3.662277e-05 8.985249e-06 3.146484e-05
 8313.200000 -4.482891e-05 -3.516541e-05 -6.071756e-06 -3.913600e-07 9.530399e-06 -3.578757e-05 1.634305e-05 3.569774e-05
 8313.400000 -4.492461e-05 -3.523811e-05 -6.084113e-06 -3.920929e-07 1.441277e-05 -4.331861e-05 1.738183e-06 2.710127e-05
 8313.600000 -4.493135e-05 -3.524606e-05 -6.084361e-06 -3.923798e-07 1.083706e-05 -4.699358e-05 -1.599027e-05 2.173256e-05
 8313.800000 -4.487176e-05 -3.520668e-05 -6.076781e-06 -3.921593e-07 1.968099e-05 -4.540489e-05 -2.372897e-06 3.948101e-05
 8314.000000 -4.482159e-05 -3.516944e-05 -6.069998e-06 -3.917305e-07 1.982252e-05 -3.973155e-05 1.269666e-05 2.517159e-05
 8314.200000 -4.491675e-05 -3.524090e-05 -6.082352e-06 -3.924051e-07 1.965868e-05 -2.858781e-05 9.450853e-06 1.063140e-05
 8314.400000 -4.487208e-05 -3.521069e-05 -6.077502e-06 -3.920159e-07 1.028500e-05 -2.836202e-05 1.855232e-05 2.753002e-05
 8314.600000 -4.505452e-05 -3.534717e-05 -6.100157e-06 -3.937035e-07 1.048312e-05 -2.854108e-05 1.117829e-05 3.075749e-05
 8314.800000 -4.511623e-05 -3.539487e-05 -6.107211e-06 -3.940067e-07 2.272084e-05 -2.968475e-05 1.046407e-05 2.668935e-05
 8315.000000 -4.501871e-05 -3.532450e-05 -6.094911e-06 -3.932846e-07 1.865298e-05 -3.292709e-05 2.057152e-06 1.905695e-05
 8315.200000 -4.504771e-05 -3.534295e-05 -6.099435e-06 -3.936165e-07 2.304524e-05 -3.615054e-05 8.921460e-06 2.427848e-05
