# {
#     "poni_version": 2.1,
#     "detector": "Perkin",
#     "detector_config": {
#         "pixel1": 0.0002,
#         "pixel2": 0.0002,
#         "orientation": 3
#     },
#     "dist": 1.4280177479893559,
#     "poni1": 0.23398429857415295,
#     "poni2": 0.37634908408057827,
#     "rot1": -0.003994332959290178,
#     "rot2": -0.026132616520970278,
#     "rot3": -4.71036871681453e-10,
#     "wavelength": 1.814e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> from_PerkinElmer_detector/LaB6.xy
#       2th_deg             I 
  3.705000e+00    1.946529e+01
  3.715000e+00    1.949230e+01
  3.725000e+00    1.948013e+01
  3.735000e+00    1.955000e+01
  3.745000e+00    1.961466e+01
  3.755000e+00    1.972444e+01
  3.765000e+00    1.976692e+01
  3.775000e+00    1.997372e+01
  3.785000e+00    2.028688e+01
  3.795000e+00    2.080715e+01
  3.805000e+00    2.195724e+01
  3.815000e+00    2.830589e+01
  3.825000e+00    1.000533e+02
  3.835000e+00    3.582897e+02
  3.845000e+00    4.375699e+02
  3.855000e+00    1.548786e+02
  3.865000e+00    3.325701e+01
  3.875000e+00    2.238402e+01
  3.885000e+00    2.079095e+01
  3.895000e+00    2.014849e+01
  3.905000e+00    1.969886e+01
  3.915000e+00    1.937997e+01
  3.925000e+00    1.921000e+01
  3.935000e+00    1.905340e+01
  3.945000e+00    1.892033e+01
  3.955000e+00    1.885470e+01
  3.965000e+00    1.875744e+01
  3.975000e+00    1.869224e+01
  3.985000e+00    1.860547e+01
  3.995000e+00    1.855548e+01
  4.005000e+00    1.846002e+01
  4.015000e+00    1.846470e+01
  4.025000e+00    1.842713e+01
  4.035000e+00    1.837766e+01
  4.045000e+00    1.833110e+01
  4.055000e+00    1.838515e+01
  4.065000e+00    1.829331e+01
  4.075000e+00    1.819184e+01
  4.085000e+00    1.819796e+01
  4.095000e+00    1.818167e+01
  4.105000e+00    1.816352e+01
  4.115000e+00    1.811074e+01
  4.125000e+00    1.807043e+01
  4.135000e+00    1.790106e+01
  4.145000e+00    1.784110e+01
  4.155000e+00    1.789662e+01
  4.165000e+00    1.789536e+01
  4.175000e+00    1.783203e+01
  4.185000e+00    1.785694e+01
  4.195000e+00    1.778841e+01
  4.205000e+00    1.777986e+01
  4.215000e+00    1.779137e+01
  4.225000e+00    1.781431e+01
  4.235000e+00    1.774258e+01
  4.245000e+00    1.775813e+01
  4.255000e+00    1.775806e+01
  4.265000e+00    1.770346e+01
  4.275000e+00    1.773808e+01
  4.285000e+00    1.783392e+01
  4.295000e+00    1.783029e+01
  4.305000e+00    1.776197e+01
  4.315000e+00    1.775186e+01
  4.325000e+00    1.776250e+01
  4.335000e+00    1.775397e+01
  4.345000e+00    1.768665e+01
  4.355000e+00    1.763053e+01
  4.365000e+00    1.762261e+01
  4.375000e+00    1.757684e+01
  4.385000e+00    1.757988e+01
  4.395000e+00    1.758227e+01
  4.405000e+00    1.750612e+01
  4.415000e+00    1.749564e+01
  4.425000e+00    1.745250e+01
  4.435000e+00    1.742942e+01
  4.445000e+00    1.744625e+01
  4.455000e+00    1.738118e+01
  4.465000e+00    1.742124e+01
  4.475000e+00    1.748790e+01
  4.485000e+00    1.746262e+01
  4.495000e+00    1.746242e+01
  4.505000e+00    1.739470e+01
  4.515000e+00    1.736496e+01
  4.525000e+00    1.740420e+01
  4.535000e+00    1.740239e+01
  4.545000e+00    1.738012e+01
  4.555000e+00    1.737141e+01
  4.565000e+00    1.738966e+01
  4.575000e+00    1.736755e+01
  4.585000e+00    1.741985e+01
  4.595000e+00    1.736547e+01
  4.605000e+00    1.732802e+01
  4.615000e+00    1.730913e+01
  4.625000e+00    1.731993e+01
  4.635000e+00    1.728108e+01
  4.645000e+00    1.730872e+01
  4.655000e+00    1.733091e+01
  4.665000e+00    1.728023e+01
  4.675000e+00    1.724617e+01
  4.685000e+00    1.724875e+01
  4.695000e+00    1.726515e+01
  4.705000e+00    1.722630e+01
  4.715000e+00    1.724207e+01
  4.725000e+00    1.720064e+01
  4.735000e+00    1.724559e+01
  4.745000e+00    1.721274e+01
  4.755000e+00    1.716164e+01
  4.765000e+00    1.724425e+01
  4.775000e+00    1.723158e+01
  4.785000e+00    1.725221e+01
  4.795000e+00    1.722860e+01
  4.805000e+00    1.723613e+01
  4.815000e+00    1.722033e+01
  4.825000e+00    1.725790e+01
  4.835000e+00    1.722940e+01
  4.845000e+00    1.723757e+01
  4.855000e+00    1.731185e+01
  4.865000e+00    1.729668e+01
  4.875000e+00    1.724669e+01
  4.885000e+00    1.723900e+01
  4.895000e+00    1.727668e+01
  4.905000e+00    1.728719e+01
  4.915000e+00    1.726112e+01
  4.925000e+00    1.728024e+01
  4.935000e+00    1.732256e+01
  4.945000e+00    1.735284e+01
  4.955000e+00    1.735809e+01
  4.965000e+00    1.734288e+01
  4.975000e+00    1.730693e+01
  4.985000e+00    1.729394e+01
  4.995000e+00    1.730460e+01
  5.005000e+00    1.734932e+01
  5.015000e+00    1.740145e+01
  5.025000e+00    1.736673e+01
  5.035000e+00    1.737458e+01
  5.045000e+00    1.737162e+01
  5.055000e+00    1.733192e+01
  5.065000e+00    1.741258e+01
  5.075000e+00    1.743840e+01
  5.085000e+00    1.744922e+01
  5.095000e+00    1.740719e+01
  5.105000e+00    1.744761e+01
  5.115000e+00    1.742741e+01
  5.125000e+00    1.746602e+01
  5.135000e+00    1.746260e+01
  5.145000e+00    1.747166e+01
  5.155000e+00    1.753255e+01
  5.165000e+00    1.753827e+01
  5.175000e+00    1.757770e+01
  5.185000e+00    1.762855e+01
  5.195000e+00    1.770540e+01
  5.205000e+00    1.771691e+01
  5.215000e+00    1.773738e+01
  5.225000e+00    1.779094e+01
  5.235000e+00    1.780137e+01
  5.245000e+00    1.785955e+01
  5.255000e+00    1.782126e+01
  5.265000e+00    1.789854e+01
  5.275000e+00    1.797265e+01
  5.285000e+00    1.809880e+01
  5.295000e+00    1.814802e+01
  5.305000e+00    1.825735e+01
  5.315000e+00    1.838947e+01
  5.325000e+00    1.856178e+01
  5.335000e+00    1.873083e+01
  5.345000e+00    1.897558e+01
  5.355000e+00    1.928333e+01
  5.365000e+00    1.971984e+01
  5.375000e+00    2.043844e+01
  5.385000e+00    2.153104e+01
  5.395000e+00    2.386831e+01
  5.405000e+00    3.707925e+01
  5.415000e+00    1.695792e+02
  5.425000e+00    6.156816e+02
  5.435000e+00    8.787556e+02
  5.445000e+00    4.610833e+02
  5.455000e+00    8.910562e+01
  5.465000e+00    2.860840e+01
  5.475000e+00    2.295894e+01
  5.485000e+00    2.121730e+01
  5.495000e+00    2.023326e+01
  5.505000e+00    1.961057e+01
  5.515000e+00    1.917343e+01
  5.525000e+00    1.886275e+01
  5.535000e+00    1.865884e+01
  5.545000e+00    1.845171e+01
  5.555000e+00    1.828331e+01
  5.565000e+00    1.816613e+01
  5.575000e+00    1.803153e+01
  5.585000e+00    1.802683e+01
  5.595000e+00    1.797937e+01
  5.605001e+00    1.781841e+01
  5.615001e+00    1.779270e+01
  5.625001e+00    1.776019e+01
  5.635001e+00    1.771015e+01
  5.645001e+00    1.762651e+01
  5.655001e+00    1.756758e+01
  5.665001e+00    1.756670e+01
  5.675001e+00    1.755033e+01
  5.685001e+00    1.745852e+01
  5.695001e+00    1.742923e+01
  5.705001e+00    1.744175e+01
  5.715001e+00    1.740169e+01
  5.725001e+00    1.742285e+01
  5.735001e+00    1.733650e+01
  5.745001e+00    1.732938e+01
  5.755001e+00    1.731170e+01
  5.765001e+00    1.733669e+01
  5.775001e+00    1.731297e+01
  5.785001e+00    1.732439e+01
  5.795001e+00    1.730346e+01
  5.805001e+00    1.723880e+01
  5.815001e+00    1.723315e+01
  5.825001e+00    1.727395e+01
  5.835001e+00    1.724084e+01
  5.845001e+00    1.724181e+01
  5.855001e+00    1.720532e+01
  5.865001e+00    1.727603e+01
  5.875001e+00    1.723795e+01
  5.885001e+00    1.719024e+01
  5.895001e+00    1.723090e+01
  5.905001e+00    1.720400e+01
  5.915001e+00    1.721018e+01
  5.925001e+00    1.721448e+01
  5.935001e+00    1.723170e+01
  5.945001e+00    1.723259e+01
  5.955001e+00    1.724575e+01
  5.965001e+00    1.727401e+01
  5.975001e+00    1.727992e+01
  5.985001e+00    1.722908e+01
  5.995001e+00    1.718020e+01
  6.005001e+00    1.718846e+01
  6.015001e+00    1.721961e+01
  6.025001e+00    1.729948e+01
  6.035001e+00    1.725749e+01
  6.045001e+00    1.723139e+01
  6.055001e+00    1.722197e+01
  6.065001e+00    1.729441e+01
  6.075001e+00    1.733685e+01
  6.085001e+00    1.739488e+01
  6.095001e+00    1.735765e+01
  6.105001e+00    1.738460e+01
  6.115001e+00    1.744088e+01
  6.125001e+00    1.745327e+01
  6.135001e+00    1.743147e+01
  6.145001e+00    1.749295e+01
  6.155001e+00    1.749359e+01
  6.165001e+00    1.748494e+01
  6.175001e+00    1.755235e+01
  6.185001e+00    1.756779e+01
  6.195001e+00    1.760084e+01
  6.205001e+00    1.762557e+01
  6.215001e+00    1.768180e+01
  6.225001e+00    1.776030e+01
  6.235001e+00    1.786224e+01
  6.245001e+00    1.795431e+01
  6.255001e+00    1.807849e+01
  6.265001e+00    1.818591e+01
  6.275001e+00    1.840339e+01
  6.285001e+00    1.862492e+01
  6.295001e+00    1.890501e+01
  6.305001e+00    1.932749e+01
  6.315001e+00    1.995648e+01
  6.325001e+00    2.099981e+01
  6.335001e+00    2.363774e+01
  6.345001e+00    4.343942e+01
  6.355001e+00    1.999981e+02
  6.365001e+00    5.651431e+02
  6.375001e+00    6.873265e+02
  6.385001e+00    3.514897e+02
  6.395001e+00    7.304477e+01
  6.405001e+00    2.636043e+01
  6.415001e+00    2.186632e+01
  6.425001e+00    2.041371e+01
  6.435001e+00    1.953518e+01
  6.445001e+00    1.901985e+01
  6.455001e+00    1.868925e+01
  6.465001e+00    1.845760e+01
  6.475001e+00    1.824586e+01
  6.485001e+00    1.809338e+01
  6.495001e+00    1.793551e+01
  6.505001e+00    1.786385e+01
  6.515001e+00    1.776637e+01
  6.525001e+00    1.767587e+01
  6.535001e+00    1.768921e+01
  6.545001e+00    1.763592e+01
  6.555001e+00    1.760523e+01
  6.565001e+00    1.762666e+01
  6.575001e+00    1.761039e+01
  6.585001e+00    1.764108e+01
  6.595001e+00    1.774206e+01
  6.605001e+00    1.789336e+01
  6.615001e+00    1.813918e+01
  6.625001e+00    1.991779e+01
  6.635001e+00    3.659970e+01
  6.645001e+00    9.524911e+01
  6.655001e+00    1.444100e+02
  6.665001e+00    1.091190e+02
  6.675001e+00    4.172747e+01
  6.685001e+00    2.019844e+01
  6.695001e+00    1.809065e+01
  6.705001e+00    1.769680e+01
  6.715001e+00    1.746253e+01
  6.725001e+00    1.733716e+01
  6.735001e+00    1.725368e+01
  6.745001e+00    1.713689e+01
  6.755001e+00    1.706038e+01
  6.765001e+00    1.705289e+01
  6.775001e+00    1.702835e+01
  6.785001e+00    1.699590e+01
  6.795001e+00    1.698264e+01
  6.805001e+00    1.696038e+01
  6.815001e+00    1.693334e+01
  6.825001e+00    1.689439e+01
  6.835001e+00    1.687321e+01
  6.845001e+00    1.682211e+01
